QTY,"CAT
PG#",CATEGORY / SKU,CASE QTY,ITEM DESCRIPTION,,,UPC,START DATE,AUTH PRICE,AUTH PLUS ,AUTH AMT,AUTH PLUS AMT,MAP,MSRP
,50,MAK,50,AK RECEIVER COVER PICATINNY SCOPE MOUNT,,,848754005038,9/9/2016, $ 18.17 , $ 18.90 ,  ,  , $ 26.99 , $ 32.99 
,50,MAKMDV2,50,AK TOP COVER MOUNT DESIGNED FOR MICRO DOT SIGHT DDAB /GEN 2,,,848754005045,9/9/2016, $ 18.17 , $ 18.90 ,  ,  , $ 26.99 , $ 32.99 
,47,MAR45FLF,100,45 DEGREE FOLDING FRONT SIGHT,,,848754001054,5/8/2014, $ 15.38 , $ 15.98 ,  ,  , $ 26.99 , $ 32.99 
,47,MAR45FLR,100,45 DEGREE FOLDING REAR SIGHT,,,848754001061,5/8/2014, $ 22.36 , $ 23.25 ,  ,  , $ 32.99 , $ 38.99 
,42,MAR4S,50,AR15 CARBINE LENGTH QUADRAIL HANDGUARD,,,814108011802,1/19/2009, $ 24.92 , $ 25.91 ,  ,  , $ 43.99 , $ 52.99 
,42,MAR4ST,50,AR15 CARBINE LENGTH QUADRAIL HANDGUARD/TAN,,,848754011084,10/30/2018, $ 24.92 , $ 25.91 ,  ,  , $ 43.99 , $ 52.99 
,,MAR6M2,80,"AR15 CARRY HANDLE ADAPTER MOUNT WITH 5.25""L PICATINNY/ MIL-STD 1913 RAIL MOD 2/ BLACK",,,848754011978,9/18/2019, $ 4.90 , $ 5.09 ,  ,  , $ 9.99 , $ 12.99 
,48,MARCQ,50,"AR15 QR WEAVER MOUNT/ CANTILEVER SCOPE MOUNT REAR RING/30MM & 1"" INSERTS",,,814108013820,10/16/2009, $ 25.16 , $ 26.16 ,  ,  , $ 38.99 , $ 45.99 
,45,MARDCH,50,AR15 DETACHABLE CARRY HANDLE,,,814108014094,12/8/2009, $ 30.20 , $ 31.41 ,  ,  , $ 38.99 , $ 51.99 
,47,MARDRS,50,AR15 DETACHABLE REAR SIGHT,,,814108014063,12/8/2009, $ 24.18 , $ 25.15 ,  ,  , $ 32.99 , $ 38.99 
,47,MARFLF,100,AR15 FLIP UP FRONT SIGHT,,,814108014070,12/8/2009, $ 11.18 , $ 11.63 ,  ,  , $ 19.99 , $ 32.99 
,47,MARFLF2,100,AR15 FLIP UP FRONT SIGHT/LOW PROFILE,,,814108019808,12/7/2012, $ 11.18 , $ 11.63 ,  ,  , $ 19.99 , $ 32.99 
,47,MARFLR,100,AR15 FLIP UP REAR SIGHT,,,814108014087,12/8/2009, $ 15.38 , $ 15.98 ,  ,  , $ 23.99 , $ 38.99 
,48,MARFQV2,50,"AR15 PICATINNY ¾"" RISER/QUICK REALEASE/GEN 2",,,848754004680,2/2/2016, $ 16.78 , $ 17.45 ,  ,  , $ 25.99 , $ 32.99 
,48,MARFSV2,50,"AR15 PICATINNY ¾"" RISER/SHORT/GEN 2",,,848754004079,12/8/2015, $ 4.90 , $ 5.09 ,  ,  , $ 13.99 , $ 19.99 
,48,MARFV2,50,"AR15 PICATINNY ¾"" RISER/GEN 2",,,848754004086,12/8/2015, $ 10.34 , $ 10.76 ,  ,  , $ 16.99 , $ 19.99 
,45,MARSV2,50,AR15 Gen2 Handguard Rail,,,848754004093,5/5/2016, $ 8.80 , $ 9.15 ,  ,  , $ 13.99 , $ 17.99 
,58,MDC30,100,30MM CANTILEVER RING MOUNT/WEAVER STYLE ,,,814108015817,9/24/2010, $ 5.73 , $ 5.96 ,  ,  , $ 10.99 , $ 17.99 
,57,MDMP5V2,50,MP5/HK CLAW SCOPE MOUNT/GEN II,,,848754007438,1/25/2017, $ 8.38 , $ 8.72 ,  ,  , $ 15.99 , $ 19.99 
,58,MFL1,100,1” OFF-SET MOUNT FOR 1” FLASHLIGHT/LASER,,,814108015824,9/23/2010, $ 7.69 , $ 8.01 ,  ,  , $ 13.99 , $ 16.99 
,58,MMLINV2,100,MARLIN LEVER ACTION WEAVER SCOPE MOUNT/GEN II,,,848754003621,9/23/2015, $ 5.59 , $ 5.81 ,  ,  , $ 10.99 , $ 13.99 
,,MPAML,100,NcSTAR® PICATINNY RAIL ADAPTER TO M-LOK®  LONG,,,848754015013,2/11/2022, $ 6.69 , $ 6.96 ,  ,  , $ 16.99 , $ 18.99 
